latitude,longitude,elevation
53.010615818,-6.319624385,168
53.009500482,-6.323690556,130
53.009618262,-6.329183869,134
53.007381165,-6.33691329,155
53.004754305,-6.34572945,141
53.004024917,-6.34562327,194
53.000755727,-6.346083469,235
53.000669296,-6.345684574,223
53.00417005,-6.341528358,215
53.004785863,-6.339292435,246
53.001425375,-6.34190173,264
52.999198065,-6.343126628,285
52.997535327,-6.342788137,305
52.996606649,-6.342890737,305
52.994175685,-6.3454637,322
52.994312787,-6.346597855,319
52.99546271,-6.350776496,348
52.996533538,-6.349261087,320
52.994099775,-6.360412733,409
52.993348454,-6.361647595,421
52.99050828,-6.363899681,451
52.989617231,-6.363799337,451
52.989765213,-6.365737211,477
52.991231326,-6.366486063,477
52.990606669,-6.374015596,478
52.990360103,-6.377673564,496
52.99055118,-6.382461858,534
52.989609493,-6.382601303,534
52.987456652,-6.383880537,521
52.985927245,-6.381279579,554
52.984563397,-6.380444591,569
52.983783155,-6.380890716,569
52.982489758,-6.382919458,480
52.979412725,-6.381002064,464
52.978282418,-6.381148553,435
52.976543227,-6.382776812,400
52.975489383,-6.382764068,400
52.974785719,-6.381904556,328
52.975309265,-6.38339607,360
52.977339333,-6.386967871,353
52.976386692,-6.388618692,260
52.973763897,-6.383089036,328
52.971783091,-6.378525926,321
52.969752062,-6.374902906,321
52.966804265,-6.3686578,330
52.965680377,-6.366981006,288
52.964210697,-6.366463392,297
52.96126334,-6.362563651,264
52.960316493,-6.360047114,219
52.960869191,-6.356796675,293
52.962200496,-6.352995652,216
52.962758783,-6.350161496,251
52.960738534,-6.35190528,199
52.959766169,-6.352098535,174
52.958333083,-6.353090592,137
52.957693112,-6.354573304,129
52.957204542,-6.35563355,129
