latitude,longitude,elevation
52.956066592,-6.35749965,132
52.954570584,-6.358493823,132
52.954745022,-6.359737173,132
52.954532151,-6.360266045,132
52.954637374,-6.363334869,143
52.956549454,-6.369721023,178
52.952848437,-6.365902241,244
52.950735045,-6.366606853,255
52.952619853,-6.368723126,278
52.951785349,-6.3697961,307
52.951188017,-6.372109968,327
52.949015307,-6.371931207,313
52.948892142,-6.360687739,267
52.948375505,-6.359717875,261
52.947538927,-6.360634776,294
52.943855379,-6.371812602,389
52.942597115,-6.374098739,407
52.942233974,-6.377444611,438
52.94208958,-6.378387209,438
52.941229935,-6.379929256,459
52.938188668,-6.384103699,503
52.937601271,-6.384854443,503
52.935671262,-6.386331914,516
52.933206095,-6.387777092,520
52.930274482,-6.388458648,496
52.928447195,-6.390556486,468
52.928623133,-6.384980605,453
52.927287945,-6.388569614,459
52.926518964,-6.385215095,439
52.925323643,-6.385207547,439
52.923338856,-6.384969168,421
52.922022736,-6.385330418,426
52.920259788,-6.38752967,408
52.918000145,-6.390215511,442
52.915375775,-6.397337474,477
52.914656924,-6.397676222,477
52.914910031,-6.404795462,377
52.913379368,-6.405580172,375
52.911513377,-6.404816257,343
52.908463915,-6.402587176,362
52.908553144,-6.397537383,376
52.908648699,-6.395296737,358
52.9077849,-6.391895023,299
52.907132459,-6.392491462,299
52.906585067,-6.396205405,297
52.90609933,-6.39866843,244
52.905305781,-6.400466451,247
52.904287943,-6.401960536,247
52.903714407,-6.403750331,197
52.903539057,-6.404745155,172
52.904162899,-6.406699012,175
52.904074092,-6.409459354,202
52.90438348,-6.411424808,168
52.901421544,-6.406331464,208
52.899264936,-6.405006227,197
52.896507504,-6.40344315,174
52.895246503,-6.403229463,186
52.894166098,-6.403581241,186
52.893838448,-6.404945499,227
52.893976765,-6.405876569,227
52.893996216,-6.409672466,268
52.893351335,-6.410840248,233
52.892870582,-6.412522064,243
52.892608959,-6.416484134,253
52.893062666,-6.419848057,281
52.893098609,-6.422551123,295
52.893069801,-6.427492848,326
52.892558919,-6.431671866,354
52.892159148,-6.432362381,354
52.892394309,-6.43349803,363
52.892505762,-6.43479417,363
52.891147137,-6.436715305,393
52.890234746,-6.436696142,393
52.887247452,-6.439143659,401
52.884851308,-6.439905718,346
52.883312199,-6.44006498,353
52.881917952,-6.441674852,322
52.883735232,-6.441141703,346
52.885292079,-6.442333782,312
52.884200601,-6.443048871,312
52.882517921,-6.444253051,298
52.883617947,-6.448997261,268
52.883196811,-6.45046816,261
52.881310921,-6.452979086,247
52.879708598,-6.455531703,236
52.87833409,-6.456256421,224
52.87591535,-6.456498306,216
52.87451989,-6.455612145,219
52.872887113,-6.455826116,221
52.871497557,-6.456603221,200
52.870576005,-6.458299305,227
52.868237884,-6.462332501,213
52.867086763,-6.463308785,189
52.86553954,-6.462843738,205
52.863703311,-6.4619212,226
