latitude,longitude,elevation
53.177964996,-6.231748025,247
53.176506882,-6.230080433,240
53.175256548,-6.225771961,271
53.175089067,-6.22117214,270
53.17258097,-6.222016255,150
53.173191956,-6.233178265,152
53.172280872,-6.231735075,123
53.172298506,-6.22959565,119
53.171319628,-6.226921521,129
53.169747949,-6.224271998,106
53.170321068,-6.222932262,106
53.170002604,-6.221464865,104
53.168902401,-6.220605615,101
53.168872901,-6.218632806,106
53.168325866,-6.218408721,119
53.167676122,-6.22123211,113
53.167426691,-6.221077933,113
53.166552312,-6.222101071,164
53.166052465,-6.218420676,152
53.165153592,-6.216155083,142
53.164754563,-6.219214644,161
53.161462508,-6.217212806,209
53.161425417,-6.218036714,209
53.160422751,-6.217091439,209
53.160364841,-6.213228793,256
53.154050758,-6.204199874,279
53.154301587,-6.207725015,278
53.152741878,-6.205898927,279
53.152620925,-6.207712819,306
53.149357153,-6.214179269,293
53.148776736,-6.21502549,373
53.14815165,-6.219490854,395
53.146057268,-6.219906352,338
53.14540407,-6.219193517,352
53.142345252,-6.2195667,382
53.139558385,-6.214996862,435
53.138199946,-6.216697054,446
53.136599422,-6.218735916,461
53.135177727,-6.222821904,495
53.134611949,-6.224653348,508
53.132501416,-6.225644386,545
53.130047552,-6.22681382,528
53.126529294,-6.234518366,526
53.124865668,-6.235654745,591
53.123584275,-6.239240319,619
53.121931116,-6.237746844,617
53.118391624,-6.239041828,620
53.114075643,-6.248007914,543
53.113661277,-6.250078402,538
53.112124018,-6.253097973,540
53.11160475,-6.254761857,530
53.110259587,-6.255719874,512
53.109511419,-6.255257339,512
53.109443961,-6.254028011,506
53.109909001,-6.252037848,484
53.109499355,-6.251068818,484
53.106191019,-6.254652604,465
53.104119978,-6.254982866,479
53.101338119,-6.254027918,477
53.098041795,-6.251697975,455
53.095015341,-6.250917509,405
53.094274952,-6.24930538,399
53.08867633,-6.251749344,418
53.087242623,-6.251725377,411
53.087261908,-6.253038116,422
53.085145081,-6.253616417,397
53.084460753,-6.254136668,397
53.084002882,-6.256617869,389
53.083255919,-6.256237628,409
53.082446323,-6.254956988,409
53.080469251,-6.254954897,420
53.079416271,-6.253930456,399
53.076568112,-6.255194789,442
53.075872947,-6.254976686,442
53.075348829,-6.256311045,460
53.072525339,-6.257574098,428
53.072284361,-6.257994162,428
53.070802455,-6.258053994,396
53.069834927,-6.259488106,416
53.069567333,-6.261468371,423
53.068114175,-6.263496323,372
53.067086414,-6.264194134,372
53.066334684,-6.263485876,340
