latitude,longitude,elevation
53.278776337,-6.269395959,91
53.27667659,-6.267749206,91
53.276387402,-6.268255646,91
53.274114014,-6.268265119,96
53.27302013,-6.267814646,96
53.272605799,-6.266512206,99
53.269790259,-6.266626152,114
53.26939837,-6.270269528,105
53.269284836,-6.272664969,110
53.267867364,-6.277173916,122
53.267569187,-6.280483505,117
53.266137897,-6.280623391,126
53.265873083,-6.27939747,126
53.259071344,-6.277280306,179
53.258722,-6.277047082,185
53.25818341,-6.277398424,216
53.258809376,-6.272839989,212
53.258419395,-6.269806078,218
53.258553227,-6.268811602,218
53.255694774,-6.262580943,273
53.254628632,-6.260646197,248
53.250999336,-6.25749714,311
53.251579993,-6.260028227,341
53.247677801,-6.256808135,396
53.247489856,-6.25747499,396
53.245386332,-6.255582946,434
53.245051353,-6.252959874,432
53.244279132,-6.254227272,434
53.244518905,-6.257101365,428
53.240173285,-6.253982497,487
53.237938426,-6.253249658,491
53.235486206,-6.268095279,438
53.233025554,-6.26712378,405
53.231816097,-6.265525214,398
53.228728383,-6.263920384,308
53.227472017,-6.259111806,323
53.227028694,-6.255835305,296
53.226661122,-6.250990914,298
53.225589699,-6.245351778,311
53.224292919,-6.241204595,295
53.224001777,-6.244922577,280
53.223699625,-6.247899753,277
53.223315355,-6.248656642,268
53.223396191,-6.250794583,262
53.222644381,-6.250084046,284
53.21998771,-6.24755722,288
53.218686155,-6.243081319,319
53.216943151,-6.240517695,304
53.217016845,-6.242161539,319
53.215621632,-6.241395277,338
53.216103824,-6.243928105,383
53.213625566,-6.243453142,395
53.209130196,-6.240261634,444
53.207787509,-6.236365043,468
53.20688743,-6.235661102,468
53.206108696,-6.233141109,456
53.198929828,-6.228991809,460
53.196828092,-6.228913867,429
53.195424405,-6.234239075,381
53.19472,-6.230070703,384
53.19402969,-6.230181447,384
53.193161348,-6.231616285,352
53.192672281,-6.231965606,352
53.19266193,-6.234599525,347
53.19164963,-6.232995234,300
53.191865336,-6.22755488,323
53.19161224,-6.22715385,277
53.19018298,-6.230751388,288
53.188800394,-6.227516755,250
53.187351568,-6.229798264,248
53.185337364,-6.230621794,266
53.184133011,-6.232728396,252
53.182913989,-6.233848146,231
53.181167779,-6.234413577,226
53.180257929,-6.233052319,263
