latitude,longitude,elevation
52.861304309,-6.458835965,226
52.861185022,-6.456917349,242
52.859985129,-6.455348944,255
52.85927488,-6.456361539,229
52.858600111,-6.457684635,229
52.858275872,-6.459359025,206
52.857254569,-6.460642347,179
52.856003082,-6.46115431,154
52.854987614,-6.460462784,154
52.854341316,-6.459134688,178
52.854614391,-6.460787762,154
52.853459239,-6.461452159,164
52.852125769,-6.458070107,155
52.850670506,-6.455004324,147
52.849532112,-6.453330248,161
52.848513214,-6.452379358,161
52.847373973,-6.451848413,151
52.846229308,-6.450902082,151
52.845176239,-6.449744737,146
52.844358157,-6.44972194,146
52.841715278,-6.449660272,153
52.840724837,-6.450890284,174
52.83810187,-6.449944836,167
52.837303575,-6.450232973,202
52.836601752,-6.449478875,174
52.836452242,-6.447666326,148
52.834700695,-6.446014875,156
52.835609151,-6.443333582,123
52.834593581,-6.442642788,126
52.833367477,-6.442686662,126
52.831891227,-6.44284335,159
52.829584628,-6.442043036,182
52.828166484,-6.441834144,183
52.826760606,-6.442559526,196
52.826364844,-6.443560303,196
52.82400564,-6.442346532,226
52.822145311,-6.441997708,237
52.821239042,-6.442445505,237
52.81994313,-6.444360967,239
52.819738703,-6.445562416,239
52.819761127,-6.447274955,264
52.819400155,-6.448533882,287
52.818720714,-6.449492616,253
52.818022022,-6.451386515,272
52.817917253,-6.452999673,283
52.817217828,-6.45484159,289
52.81688889,-6.456151159,289
52.817023006,-6.459209451,254
52.818919788,-6.464801431,278
52.819120505,-6.465728888,278
52.818386761,-6.467364186,264
52.817393445,-6.468385557,264
52.816106092,-6.46734062,253
52.815811071,-6.466416541,227
52.813550712,-6.464315833,197
52.811435681,-6.46615532,190
52.80995476,-6.468387585,178
52.809190875,-6.470127362,189
