latitude,longitude,elevation
53.065864955,-6.261781639,349
53.066236149,-6.260125588,346
53.067451871,-6.258763654,379
53.067347187,-6.25499325,350
53.064454455,-6.24985891,297
53.062418374,-6.252567006,289
53.059988257,-6.255372813,280
53.05834602,-6.257982428,271
53.057104895,-6.260985867,258
53.056519781,-6.263224423,244
53.055839814,-6.267435571,220
53.05436338,-6.271268309,206
53.053994407,-6.273087777,220
53.052872548,-6.274117003,220
53.051402518,-6.274996029,245
53.050113427,-6.274719432,245
53.048913611,-6.273783108,274
53.045370669,-6.271464271,293
53.043398345,-6.271789243,282
53.041475417,-6.272112206,253
53.038528233,-6.273378126,237
53.034656472,-6.273942838,256
53.035089693,-6.276549389,268
53.036367362,-6.279450347,278
53.036461782,-6.282562516,291
53.035297755,-6.287528544,360
53.03341119,-6.286947382,343
53.03154351,-6.287677339,375
53.030709644,-6.288120319,353
53.028478474,-6.287634827,332
53.027101229,-6.2880993,332
53.025919215,-6.288392056,329
53.024801925,-6.289747919,349
53.02230618,-6.291486096,349
53.020589014,-6.292373647,323
53.015823226,-6.296086121,206
53.016534755,-6.297451401,206
53.017206246,-6.299473992,217
53.016445147,-6.301552928,187
53.015040916,-6.300132862,187
53.012981402,-6.301279225,194
53.015241762,-6.303813059,194
53.015263959,-6.305369384,209
53.017083144,-6.308166713,214
53.015896411,-6.308131194,230
53.014924753,-6.309316615,259
53.01334516,-6.309460335,264
53.012751211,-6.309401605,264
53.011773718,-6.310177382,236
53.011942863,-6.311645895,226
53.012900046,-6.312919769,268
53.012157278,-6.316308767,188
53.012193214,-6.318847871,168
53.012626601,-6.321535452,238
53.013401102,-6.32388205,217
53.011357501,-6.326173917,136
53.011402936,-6.323817955,137
