latitude,longitude,elevation
53.278776337,-6.269395959,91
53.27667659,-6.267749206,91
53.276387402,-6.268255646,91
53.274114014,-6.268265119,96
53.27302013,-6.267814646,96
53.272605799,-6.266512206,99
53.269790259,-6.266626152,114
53.26939837,-6.270269528,105
53.269284836,-6.272664969,110
53.267867364,-6.277173916,122
53.267569187,-6.280483505,117
53.266137897,-6.280623391,126
53.265873083,-6.27939747,126
53.259071344,-6.277280306,179
53.258722,-6.277047082,185
53.25818341,-6.277398424,216
53.258809376,-6.272839989,212
53.258419395,-6.269806078,218
53.258553227,-6.268811602,218
53.255694774,-6.262580943,273
53.254628632,-6.260646197,248
53.250999336,-6.25749714,311
53.251579993,-6.260028227,341
53.247677801,-6.256808135,396
53.247489856,-6.25747499,396
53.245386332,-6.255582946,434
53.245051353,-6.252959874,432
53.244279132,-6.254227272,434
53.244518905,-6.257101365,428
53.240173285,-6.253982497,487
53.237938426,-6.253249658,491
53.235486206,-6.268095279,438
53.233025554,-6.26712378,405
53.231816097,-6.265525214,398
53.228728383,-6.263920384,308
53.227472017,-6.259111806,323
53.227028694,-6.255835305,296
53.226661122,-6.250990914,298
53.225589699,-6.245351778,311
53.224292919,-6.241204595,295
53.224001777,-6.244922577,280
53.223699625,-6.247899753,277
53.223315355,-6.248656642,268
53.223396191,-6.250794583,262
53.222644381,-6.250084046,284
53.21998771,-6.24755722,288
53.218686155,-6.243081319,319
53.216943151,-6.240517695,304
53.217016845,-6.242161539,319
53.215621632,-6.241395277,338
53.216103824,-6.243928105,383
53.213625566,-6.243453142,395
53.209130196,-6.240261634,444
53.207787509,-6.236365043,468
53.20688743,-6.235661102,468
53.206108696,-6.233141109,456
53.198929828,-6.228991809,460
53.196828092,-6.228913867,429
53.195424405,-6.234239075,381
53.19472,-6.230070703,384
53.19402969,-6.230181447,384
53.193161348,-6.231616285,352
53.192672281,-6.231965606,352
53.19266193,-6.234599525,347
53.19164963,-6.232995234,300
53.191865336,-6.22755488,323
53.19161224,-6.22715385,277
53.19018298,-6.230751388,288
53.188800394,-6.227516755,250
53.187351568,-6.229798264,248
53.185337364,-6.230621794,266
53.184133011,-6.232728396,252
53.182913989,-6.233848146,231
53.181167779,-6.234413577,226
53.180257929,-6.233052319,263
53.177964996,-6.231748025,247
53.176506882,-6.230080433,240
53.175256548,-6.225771961,271
53.175089067,-6.22117214,270
53.17258097,-6.222016255,150
53.173191956,-6.233178265,152
53.172280872,-6.231735075,123
53.172298506,-6.22959565,119
53.171319628,-6.226921521,129
53.169747949,-6.224271998,106
53.170321068,-6.222932262,106
53.170002604,-6.221464865,104
53.168902401,-6.220605615,101
53.168872901,-6.218632806,106
53.168325866,-6.218408721,119
53.167676122,-6.22123211,113
53.167426691,-6.221077933,113
53.166552312,-6.222101071,164
53.166052465,-6.218420676,152
53.165153592,-6.216155083,142
53.164754563,-6.219214644,161
53.161462508,-6.217212806,209
53.161425417,-6.218036714,209
53.160422751,-6.217091439,209
53.160364841,-6.213228793,256
53.154050758,-6.204199874,279
53.154301587,-6.207725015,278
53.152741878,-6.205898927,279
53.152620925,-6.207712819,306
53.149357153,-6.214179269,293
53.148776736,-6.21502549,373
53.14815165,-6.219490854,395
53.146057268,-6.219906352,338
53.14540407,-6.219193517,352
53.142345252,-6.2195667,382
53.139558385,-6.214996862,435
53.138199946,-6.216697054,446
53.136599422,-6.218735916,461
53.135177727,-6.222821904,495
53.134611949,-6.224653348,508
53.132501416,-6.225644386,545
53.130047552,-6.22681382,528
53.126529294,-6.234518366,526
53.124865668,-6.235654745,591
53.123584275,-6.239240319,619
53.121931116,-6.237746844,617
53.118391624,-6.239041828,620
53.114075643,-6.248007914,543
53.113661277,-6.250078402,538
53.112124018,-6.253097973,540
53.11160475,-6.254761857,530
53.110259587,-6.255719874,512
53.109511419,-6.255257339,512
53.109443961,-6.254028011,506
53.109909001,-6.252037848,484
53.109499355,-6.251068818,484
53.106191019,-6.254652604,465
53.104119978,-6.254982866,479
53.101338119,-6.254027918,477
53.098041795,-6.251697975,455
53.095015341,-6.250917509,405
53.094274952,-6.24930538,399
53.08867633,-6.251749344,418
53.087242623,-6.251725377,411
53.087261908,-6.253038116,422
53.085145081,-6.253616417,397
53.084460753,-6.254136668,397
53.084002882,-6.256617869,389
53.083255919,-6.256237628,409
53.082446323,-6.254956988,409
53.080469251,-6.254954897,420
53.079416271,-6.253930456,399
53.076568112,-6.255194789,442
53.075872947,-6.254976686,442
53.075348829,-6.256311045,460
53.072525339,-6.257574098,428
53.072284361,-6.257994162,428
53.070802455,-6.258053994,396
53.069834927,-6.259488106,416
53.069567333,-6.261468371,423
53.068114175,-6.263496323,372
53.067086414,-6.264194134,372
53.066334684,-6.263485876,340
53.065864955,-6.261781639,349
53.066236149,-6.260125588,346
53.067451871,-6.258763654,379
53.067347187,-6.25499325,350
53.064454455,-6.24985891,297
53.062418374,-6.252567006,289
53.059988257,-6.255372813,280
53.05834602,-6.257982428,271
53.057104895,-6.260985867,258
53.056519781,-6.263224423,244
53.055839814,-6.267435571,220
53.05436338,-6.271268309,206
53.053994407,-6.273087777,220
53.052872548,-6.274117003,220
53.051402518,-6.274996029,245
53.050113427,-6.274719432,245
53.048913611,-6.273783108,274
53.045370669,-6.271464271,293
53.043398345,-6.271789243,282
53.041475417,-6.272112206,253
53.038528233,-6.273378126,237
53.034656472,-6.273942838,256
53.035089693,-6.276549389,268
53.036367362,-6.279450347,278
53.036461782,-6.282562516,291
53.035297755,-6.287528544,360
53.03341119,-6.286947382,343
53.03154351,-6.287677339,375
53.030709644,-6.288120319,353
53.028478474,-6.287634827,332
53.027101229,-6.2880993,332
53.025919215,-6.288392056,329
53.024801925,-6.289747919,349
53.02230618,-6.291486096,349
53.020589014,-6.292373647,323
53.015823226,-6.296086121,206
53.016534755,-6.297451401,206
53.017206246,-6.299473992,217
53.016445147,-6.301552928,187
53.015040916,-6.300132862,187
53.012981402,-6.301279225,194
53.015241762,-6.303813059,194
53.015263959,-6.305369384,209
53.017083144,-6.308166713,214
53.015896411,-6.308131194,230
53.014924753,-6.309316615,259
53.01334516,-6.309460335,264
53.012751211,-6.309401605,264
53.011773718,-6.310177382,236
53.011942863,-6.311645895,226
53.012900046,-6.312919769,268
53.012157278,-6.316308767,188
53.012193214,-6.318847871,168
53.012626601,-6.321535452,238
53.013401102,-6.32388205,217
53.011357501,-6.326173917,136
53.011402936,-6.323817955,137
53.010615818,-6.319624385,168
53.009500482,-6.323690556,130
53.009618262,-6.329183869,134
53.007381165,-6.33691329,155
53.004754305,-6.34572945,141
53.004024917,-6.34562327,194
53.000755727,-6.346083469,235
53.000669296,-6.345684574,223
53.00417005,-6.341528358,215
53.004785863,-6.339292435,246
53.001425375,-6.34190173,264
52.999198065,-6.343126628,285
52.997535327,-6.342788137,305
52.996606649,-6.342890737,305
52.994175685,-6.3454637,322
52.994312787,-6.346597855,319
52.99546271,-6.350776496,348
52.996533538,-6.349261087,320
52.994099775,-6.360412733,409
52.993348454,-6.361647595,421
52.99050828,-6.363899681,451
52.989617231,-6.363799337,451
52.989765213,-6.365737211,477
52.991231326,-6.366486063,477
52.990606669,-6.374015596,478
